(157, 53, -87)
(156, 54, -88)
(161, 53, -80)
(161, 52, -81)
(161, 52, -80)
(160, 52, -81)
(161, 51, -81)
(160, 52, -80)
(161, 51, -80)
(160, 51, -81)
(160, 51, -80)
(167, 55, -102)
(167, 54, -102)
(146, 57, -82)
(145, 57, -83)
(167, 55, -103)
(168, 55, -102)
(167, 54, -103)
(168, 55, -103)
(168, 54, -102)
(146, 56, -82)
(164, 35, -87)
(165, 35, -87)
(168, 54, -103)
(164, 35, -88)
(164, 34, -87)
(171, 44, -91)
(165, 35, -88)
(165, 34, -87)
(164, 34, -88)
(165, 35, -89)
(168, 46, -75)
(166, 45, -74)
(172, 44, -91)
(171, 44, -92)
(171, 43, -91)
(167, 45, -75)
(147, 55, -93)
(177, 60, -102)
(165, 34, -88)
(165, 34, -89)
(167, 45, -74)
(172, 44, -92)
(168, 45, -75)
(147, 55, -94)
(146, 55, -93)
(146, 55, -94)
(168, 45, -74)
(169, 45, -75)
(167, 44, -74)
(178, 48, -92)
(178, 47, -92)
(177, 47, -93)
(198, 62, -84)
(168, 40, -74)
(170, 54, -61)
(199, 61, -83)
(137, 50, -87)
(176, 46, -98)
(176, 47, -99)
(169, 40, -73)
(137, 49, -87)
(157, 65, -123)
(177, 46, -98)
(183, 45, -91)
(182, 44, -91)
(176, 46, -99)
(168, 38, -100)
(182, 44, -92)
(177, 46, -99)
(157, 64, -123)
(156, 66, -124)
(176, 46, -100)
(183, 44, -91)
(177, 45, -98)
(188, 51, -94)
(183, 44, -92)
(189, 51, -94)
(188, 51, -95)
(169, 38, -101)
(184, 40, -88)
(152, 29, -86)
(189, 51, -95)
(188, 50, -95)
(169, 46, -110)
(185, 41, -89)
(168, 46, -111)
(185, 40, -89)
(151, 29, -86)
(175, 35, -94)
(174, 35, -95)
(175, 34, -94)
(152, 28, -85)
(177, 32, -82)
(171, 48, -112)
(167, 23, -92)
(151, 28, -85)
(167, 22, -92)
(166, 30, -101)
(172, 48, -113)
(165, 29, -101)
(158, 23, -90)
(126, 52, -85)
(173, 26, -91)
(157, 24, -91)
